blk_no,street,town_code,town,lat,lon,total_dwelling_units,max_floor_lvl,year_completed
139A,LOR 1A TOA PAYOH,TP,TOA PAYOH,1.33627775831236,103.844044881122,237,40,2012
139B,LOR 1A TOA PAYOH,TP,TOA PAYOH,1.33671109109395,103.843878159336,246,42,2012
14,BEACH RD,KWN,KALLANG/WHAMPOA,1.3036632014045602,103.863006472509,0,2,1974
14,BEDOK STH AVE 2,BD,BEDOK,1.32136119118054,103.936185399688,95,24,1994
14,DOVER CL EAST,QT,QUEENSTOWN,1.30556381153275,103.78559523109301,96,25,1977
14,EUNOS CRES,GL,GEYLANG,1.32314313124757,103.90344909234001,90,16,1976
14,FARRER PK RD,KWN,KALLANG/WHAMPOA,1.31136831927025,103.851557385844,0,1,2002
14,GHIM MOH RD,QT,QUEENSTOWN,1.30884675491388,103.78914684284,96,25,1976
14,HAIG RD,GL,GEYLANG,1.31542619208207,103.89547648140699,0,1,2010
14,JLN BT MERAH,BM,BUKIT MERAH,1.28786130507781,103.80764816753401,86,25,1995
14,JOO SENG RD,TP,TOA PAYOH,1.33607365258296,103.879853823853,72,19,1983
14,KG ARANG RD,KWN,KALLANG/WHAMPOA,1.30016459105002,103.884228450233,131,12,1964
14,LOR 7 TOA PAYOH,TP,TOA PAYOH,1.3366689670672198,103.858353616452,96,25,1997
14,MARINE TER,MP,MARINE PARADE,1.3034761792270402,103.915411740341,96,25,1974
14,OLD AIRPORT RD,GL,GEYLANG,1.30683864206805,103.88457250108699,56,7,1958
14,ST. GEORGE'S RD,KWN,KALLANG/WHAMPOA,1.3236979568361398,103.86209172719,150,12,1984
14,TAMAN HO SWEE,BM,BUKIT MERAH,1.2879046178104498,103.83219770269001,81,9,1963
14,TECK WHYE LANE,CCK,CHOA CHU KANG,1.37848150958553,103.75567538690599,96,25,1978
14,TELOK BLANGAH CRES,BM,BUKIT MERAH,1.2773954417326698,103.820469653072,74,13,1998
14,TOH YI DR,BT,BUKIT TIMAH,1.33908702611923,103.772569349944,96,13,1987
14,UPP BOON KENG RD,KWN,KALLANG/WHAMPOA,1.31505420515829,103.87030366846201,87,20,1997
14A,FARRER PK RD,KWN,KALLANG/WHAMPOA,1.3116624338532301,103.85203367662201,0,5,2002
14A,GHIM MOH RD,QT,QUEENSTOWN,1.30926597606501,103.789273426674,0,1,2006
14A,KG ARANG RD,KWN,KALLANG/WHAMPOA,1.3003430135763898,103.883651172776,0,5,2001
14A,LOR 7 TOA PAYOH,TP,TOA PAYOH,1.33626820800952,103.85831523395201,117,25,1997
14A,TELOK BLANGAH CRES,BM,BUKIT MERAH,1.27776030069591,103.82073006220699,75,13,1998
14A,UPP BOON KENG RD,KWN,KALLANG/WHAMPOA,1.31526353935877,103.87068891428801,117,20,1997
14B,LOR 7 TOA PAYOH,TP,TOA PAYOH,1.33573887362342,103.858408403539,96,25,1996
140,BEDOK RESERVOIR RD,BD,BEDOK,1.33488991400406,103.913386186589,96,13,1986
140,BEDOK NTH ST 2,BD,BEDOK,1.3298608659509499,103.935423827584,140,17,1997
140,BISHAN ST 12,BH,BISHAN,1.3447996707991299,103.85310654157,96,9,1987
140,BT BATOK ST 11,BB,BUKIT BATOK,1.35076586646901,103.74385553747,80,17,1984
140,CORPORATION DR,JW,JURONG WEST,1.32687382444584,103.723421163741,0,5,2018
140,JLN BT MERAH,BM,BUKIT MERAH,1.2781561425586598,103.829524327849,96,25,1978
140,LOR AH SOO,HG,HOUGANG,1.3525264433843702,103.883738329606,96,13,1984
140,MARSILING RD,WL,WOODLANDS,1.43765572386861,103.77672557112301,16,4,1984
140,MCNAIR RD,KWN,KALLANG/WHAMPOA,1.27837150438229,103.848273150161,0,7,2026
140,PASIR RIS ST 11,PRC,PASIR RIS,1.36394845899025,103.95918103597201,72,11,1993
140,PETIR RD,BP,BUKIT PANJANG,1.3755029906361003,103.76895243810499,72,9,1987
140,POTONG PASIR AVE 3,TP,TOA PAYOH,1.3338155146242499,103.866824943073,122,16,1984
140,RIVERVALE ST,SK,SENGKANG,1.3893755948146498,103.90370541998301,128,17,1997
140,SERANGOON NTH AVE 2,SGN,SERANGOON,1.36843456862048,103.875006492339,108,13,1988
140,TAMPINES ST 12,TAP,TAMPINES,1.34773191150792,103.94412402405001,114,9,1984
140,TECK WHYE LANE,CCK,CHOA CHU KANG,1.3800180582562802,103.75314837776199,0,2,1992
140,YISHUN RING RD,YS,YISHUN,1.4311862595273301,103.830601339189,110,12,1984
140A,CORPORATION DR,JW,JURONG WEST,1.32735549941003,103.723135218753,131,19,2018
140B,CORPORATION DR,JW,JURONG WEST,1.32727988679079,103.723574309009,186,17,2018
140C,CORPORATION DR,JW,JURONG WEST,1.32753738497084,103.72428755393,192,17,2018
140D,CORPORATION DR,JW,JURONG WEST,1.3275932027587198,103.724631531896,132,19,2018
141,BEDOK RESERVOIR RD,BD,BEDOK,1.33530647237828,103.913462151262,120,13,1986
